caseid,make_get_guns,gender,ideology,trust_in_gov,religion,race
877,More Difficult,Female,Moderate,Half of the Time,Once Daily,White
4465,More Difficult,Female,Moderate,Half of the Time,Several Times Daily,White
6022,More Difficult,Female,Moderate,,Few Times A Week,White
6409,More Difficult,Female,Moderate,Most Of The Time,Once A Week Or Less,White
1761,More Difficult,Female,Slightly Conservative,,Several Times Daily,White
5271,More Difficult,Female,Extremely Liberal,Most Of The Time,Never,White
6732,More Difficult,Female,Conservative,Most Of The Time,Few Times A Week,White
1628,More Difficult,Male,Slightly Conservative,,Once Daily,White
6630,More Difficult,Female,Conservative,,Once Daily,White
1366,More Difficult,Male,Slightly Liberal,,Never,Black
5607,More Difficult,Female,Moderate,Some of the Time,Several Times Daily,Hispanic
1143,More Difficult,Male,Moderate,,Once Daily,Black
3411,More Difficult,Female,Moderate,,Few Times A Week,White
516,More Difficult,Female,Slightly Liberal,,Few Times A Week,Hispanic
731,More Difficult,Male,Slightly Conservative,Some of the Time,Once Daily,Other
5916,More Difficult,Female,Slightly Liberal,Half of the Time,Once Daily,Hispanic
5021,More Difficult,Female,Slightly Liberal,,Several Times Daily,White
28,More Difficult,Female,Slightly Conservative,Half of the Time,Several Times Daily,White
5591,More Difficult,Female,Slightly Conservative,,Once Daily,White
5419,More Difficult,Female,Moderate,,Once A Week Or Less,White
11,More Difficult,Male,Moderate,,Few Times A Week,White
6453,More Difficult,Female,Slightly Liberal,Most Of The Time,Once A Week Or Less,White
5330,More Difficult,Female,Moderate,Half of the Time,Once A Week Or Less,White
3787,More Difficult,Female,Slightly Conservative,Half of the Time,Few Times A Week,White
5910,More Difficult,Female,Slightly Liberal,,Few Times A Week,White
5757,More Difficult,Female,Moderate,,Never,Hispanic
6500,More Difficult,Male,Slightly Liberal,Some of the Time,Never,White
2023,More Difficult,Male,Conservative,,Never,White
6310,More Difficult,Male,Slightly Liberal,,Once A Week Or Less,Hispanic
6290,More Difficult,Male,Slightly Conservative,,Once Daily,White
3667,More Difficult,Female,Moderate,,Once A Week Or Less,White
302,More Difficult,Female,,,Once A Week Or Less,Hispanic
557,More Difficult,Female,,Most Of The Time,Several Times Daily,Black
5354,More Difficult,Female,Extremely Liberal,Some of the Time,Once A Week Or Less,White
1220,More Difficult,Male,Moderate,,Several Times Daily,Hispanic
5359,More Difficult,Female,Moderate,Half of the Time,Once Daily,White
1196,More Difficult,Female,Slightly Conservative,,Several Times Daily,Other
6372,More Difficult,Female,Slightly Conservative,Most Of The Time,Once A Week Or Less,White
6787,More Difficult,Female,Slightly Conservative,,Few Times A Week,White
6809,More Difficult,Female,Extremely Liberal,Half of the Time,Once A Week Or Less,White
5132,More Difficult,Male,Liberal,,Once A Week Or Less,Hispanic
6100,More Difficult,Female,Moderate,,Never,White
6295,More Difficult,Male,Slightly Conservative,,Once Daily,Black
1011,More Difficult,Female,,Half of the Time,Several Times Daily,Black
3111,More Difficult,Female,Slightly Liberal,,Once A Week Or Less,Other
5380,More Difficult,Female,Moderate,,Once Daily,White
6243,More Difficult,Female,Liberal,Half of the Time,Several Times Daily,Black
1756,More Difficult,Female,Slightly Liberal,,Several Times Daily,White
5387,More Difficult,Female,Moderate,Half of the Time,Few Times A Week,White
3222,More Difficult,Female,Slightly Conservative,Half of the Time,Once Daily,White
6091,More Difficult,Female,Extremely Liberal,Some of the Time,Never,White
1202,More Difficult,Female,Moderate,Some of the Time,Several Times Daily,Other
5745,More Difficult,Female,Conservative,,Once Daily,White
6125,More Difficult,Female,Liberal,,Once Daily,Hispanic
1532,More Difficult,Male,Liberal,Some of the Time,,Hispanic
4648,More Difficult,Female,Liberal,,Once A Week Or Less,White
144,More Difficult,Female,Moderate,,Several Times Daily,White
5414,More Difficult,Male,Slightly Liberal,Half of the Time,Once A Week Or Less,Black
1066,More Difficult,Female,,Half of the Time,Several Times Daily,Black
3278,More Difficult,Male,Moderate,,Never,White
5077,More Difficult,Female,Moderate,,Several Times Daily,Hispanic
1945,More Difficult,Female,Liberal,Some of the Time,Several Times Daily,Hispanic
4675,More Difficult,Female,Extremely Liberal,Some of the Time,Never,White
3270,More Difficult,Female,Conservative,Some of the Time,Once Daily,White
5847,More Difficult,Female,Moderate,,Few Times A Week,White
4211,More Difficult,Male,Extremely Liberal,Some of the Time,Never,White
6061,More Difficult,Male,Slightly Liberal,,Never,White
5092,More Difficult,Female,Extremely Conservative,,Once Daily,Hispanic
5431,More Difficult,Female,Slightly Conservative,,Several Times Daily,White
5887,More Difficult,Male,Slightly Liberal,Half of the Time,Never,Other
5862,More Difficult,Female,Liberal,,Few Times A Week,Black
147,More Difficult,Male,,Some of the Time,Few Times A Week,Hispanic
6717,More Difficult,Female,Liberal,,Several Times Daily,Other
6210,More Difficult,Male,Liberal,,Once Daily,White
4862,More Difficult,Female,Slightly Liberal,,Several Times Daily,White
245,More Difficult,Female,,Half of the Time,Once A Week Or Less,White
6324,More Difficult,Male,Slightly Liberal,Half of the Time,Once A Week Or Less,White
5449,More Difficult,Female,Moderate,,Never,White
5433,More Difficult,Female,Slightly Conservative,,Once Daily,Hispanic
5453,More Difficult,Male,Moderate,Some of the Time,Once A Week Or Less,White
3242,More Difficult,Female,Conservative,Most Of The Time,Few Times A Week,White
1357,More Difficult,Female,,,Several Times Daily,Black
1747,More Difficult,Female,Liberal,,Few Times A Week,Black
6131,More Difficult,Female,Extremely Conservative,Some of the Time,Several Times Daily,White
3749,More Difficult,Female,Extremely Liberal,Some of the Time,Once Daily,Hispanic
3767,More Difficult,Female,Moderate,,Once A Week Or Less,White
892,More Difficult,Female,,Some of the Time,Several Times Daily,Black
1513,More Difficult,Female,,Never,Several Times Daily,Black
1032,More Difficult,Male,Moderate,,Several Times Daily,White
1364,More Difficult,Female,,,Once A Week Or Less,Black
5267,More Difficult,Female,Liberal,Some of the Time,Once A Week Or Less,White
3357,More Difficult,Female,Slightly Liberal,,Several Times Daily,White
2051,More Difficult,Female,,Some of the Time,Few Times A Week,White
4179,More Difficult,Female,Extremely Liberal,Half of the Time,Several Times Daily,Black
4804,More Difficult,Male,Liberal,,Once A Week Or Less,Hispanic
972,More Difficult,Female,Conservative,,Once Daily,Black
818,More Difficult,Male,Moderate,,Never,Hispanic
4430,More Difficult,Male,Slightly Liberal,,Never,Hispanic
3762,More Difficult,Female,Slightly Liberal,,Once A Week Or Less,White
5219,More Difficult,Female,Liberal,,Never,White
470,More Difficult,Female,Moderate,,Once A Week Or Less,White
3487,More Difficult,Female,Slightly Conservative,Some of the Time,Several Times Daily,Other
5503,More Difficult,Male,Moderate,Half of the Time,Once Daily,White
3497,More Difficult,Male,Liberal,Some of the Time,Several Times Daily,White
6214,More Difficult,Female,Liberal,Some of the Time,Never,White
4812,More Difficult,Female,Moderate,,Never,White
900,More Difficult,Female,Conservative,,Few Times A Week,Hispanic
149,More Difficult,Female,Moderate,Half of the Time,Several Times Daily,Other
264,More Difficult,Female,Slightly Liberal,,Never,White
5518,More Difficult,Female,Conservative,,Never,White
584,More Difficult,Female,,Some of the Time,Once Daily,Black
4026,More Difficult,Female,Slightly Liberal,,Once Daily,White
5528,More Difficult,Female,Moderate,,Several Times Daily,Black
3154,More Difficult,Female,Moderate,,Several Times Daily,White
5250,More Difficult,Male,Extremely Conservative,Some of the Time,Once A Week Or Less,Black
5534,More Difficult,Male,Slightly Liberal,Some of the Time,Once A Week Or Less,White
4436,More Difficult,Male,Moderate,Some of the Time,Once A Week Or Less,White
4712,More Difficult,Female,Liberal,,Never,White
5149,More Difficult,Female,Moderate,,Several Times Daily,White
6816,More Difficult,Female,Slightly Liberal,,Several Times Daily,Black
5390,More Difficult,Female,Moderate,,Once Daily,White
1084,More Difficult,Male,Conservative,,,White
1663,More Difficult,Female,Conservative,,Several Times Daily,Black
5550,More Difficult,Female,Slightly Liberal,,Once A Week Or Less,White
5551,More Difficult,Male,Moderate,,Several Times Daily,Black
1780,More Difficult,Female,,,Once Daily,White
711,More Difficult,Male,Moderate,,Few Times A Week,Hispanic
1014,More Difficult,Female,,,Once A Week Or Less,White
6656,More Difficult,Female,Extremely Conservative,Never,Several Times Daily,White
6183,More Difficult,Male,Slightly Liberal,,Never,Hispanic
1480,More Difficult,Male,,,Once Daily,Black
1910,More Difficult,Male,Moderate,,Once Daily,Black
4915,More Difficult,Female,Extremely Conservative,,Several Times Daily,White
4292,More Difficult,Female,Moderate,,Few Times A Week,Other
1592,More Difficult,Male,Extremely Liberal,,Never,White
5125,More Difficult,Female,Slightly Conservative,Some of the Time,Once Daily,White
6548,More Difficult,Female,Slightly Conservative,,Several Times Daily,White
664,More Difficult,Male,Slightly Conservative,Some of the Time,Once Daily,Hispanic
1440,More Difficult,Female,Slightly Liberal,,Few Times A Week,Hispanic
4603,More Difficult,Female,Moderate,,Few Times A Week,White
5145,More Difficult,Male,Moderate,Some of the Time,Once A Week Or Less,Other
6779,More Difficult,Male,Slightly Liberal,,Several Times Daily,Black
4757,More Difficult,Female,Slightly Conservative,Some of the Time,Several Times Daily,Hispanic
922,More Difficult,Female,,,Several Times Daily,White
4893,More Difficult,Male,Extremely Conservative,,Several Times Daily,Hispanic
5604,More Difficult,Female,Moderate,,Several Times Daily,Hispanic
1834,More Difficult,Male,Slightly Liberal,Half of the Time,Never,Hispanic
1360,More Difficult,Female,,Some of the Time,Several Times Daily,Black
3731,More Difficult,Female,Moderate,,Once A Week Or Less,White
19,More Difficult,Female,,Some of the Time,Several Times Daily,White
883,More Difficult,Female,Moderate,,Several Times Daily,Black
5615,More Difficult,Male,Slightly Conservative,,Once Daily,Black
5357,More Difficult,Male,Slightly Liberal,Some of the Time,Never,Other
5618,More Difficult,Female,Moderate,Half of the Time,Never,Black
5619,More Difficult,Male,Extremely Liberal,Half of the Time,Several Times Daily,White
5620,More Difficult,Female,Slightly Conservative,,Once Daily,White
6104,More Difficult,Female,Moderate,Half of the Time,Several Times Daily,Black
1227,More Difficult,Female,,,Several Times Daily,Black
5625,More Difficult,Male,Liberal,Half of the Time,Never,White
5627,More Difficult,Female,Moderate,Some of the Time,Several Times Daily,Black
6805,More Difficult,Female,Moderate,,Few Times A Week,White
4452,More Difficult,Male,Moderate,Most Of The Time,Few Times A Week,Hispanic
540,More Difficult,Female,Moderate,,Once Daily,Hispanic
5062,More Difficult,Female,Extremely Liberal,,Few Times A Week,Black
5148,More Difficult,Female,Liberal,Most Of The Time,Never,White
5658,More Difficult,Female,Moderate,Half of the Time,Once Daily,Black
3647,More Difficult,Male,Moderate,Never,Few Times A Week,White
1302,More Difficult,Male,Slightly Conservative,,Several Times Daily,Black
294,More Difficult,Male,Moderate,,Once Daily,White
1086,More Difficult,Male,Moderate,,Once A Week Or Less,White
5392,More Difficult,Female,Slightly Conservative,,Few Times A Week,White
4963,More Difficult,Female,Slightly Conservative,,Several Times Daily,Other
6457,More Difficult,Female,Slightly Liberal,,Once Daily,White
4741,More Difficult,Female,Liberal,,Several Times Daily,Black
6777,More Difficult,Male,Extremely Liberal,Some of the Time,Never,White
3337,More Difficult,Male,Conservative,,Several Times Daily,White
1332,More Difficult,Female,Moderate,,Several Times Daily,Black
6098,More Difficult,Male,Slightly Conservative,,Once A Week Or Less,White
1004,More Difficult,Female,Moderate,,Several Times Daily,Black
3873,More Difficult,Male,Moderate,Half of the Time,Few Times A Week,White
5667,More Difficult,Male,Slightly Conservative,,Never,Other
3960,More Difficult,Male,Slightly Conservative,,Few Times A Week,White
1767,More Difficult,Female,Moderate,Some of the Time,Once A Week Or Less,White
4144,More Difficult,Female,Moderate,Some of the Time,Once A Week Or Less,Black
631,More Difficult,Female,,Half of the Time,Few Times A Week,Hispanic
3377,More Difficult,Male,Moderate,,Once A Week Or Less,White
5677,More Difficult,Female,Liberal,,Few Times A Week,White
6053,More Difficult,Female,Conservative,Most Of The Time,Once A Week Or Less,Other
1125,More Difficult,Male,Slightly Liberal,Some of the Time,Once A Week Or Less,White
4951,More Difficult,Male,Moderate,Half of the Time,Once A Week Or Less,Black
1051,More Difficult,Female,,Half of the Time,Never,White
5951,More Difficult,Female,Liberal,,Several Times Daily,Hispanic
6028,More Difficult,Female,Liberal,Some of the Time,Once Daily,White
5818,More Difficult,Female,Moderate,,Few Times A Week,White
5322,More Difficult,Male,Slightly Liberal,Some of the Time,Several Times Daily,Black
5693,More Difficult,Male,Moderate,,Once A Week Or Less,White
5694,More Difficult,Female,Extremely Liberal,,Once Daily,Black
3479,More Difficult,Male,Slightly Conservative,,Once A Week Or Less,White
4950,More Difficult,Male,Liberal,,Once Daily,Hispanic
5649,More Difficult,Female,Moderate,,Once Daily,White
4514,More Difficult,Female,Conservative,Never,Never,White
580,More Difficult,Male,,Some of the Time,Once Daily,Black
4150,More Difficult,Female,Liberal,,Never,White
3909,More Difficult,Female,Slightly Liberal,,Never,White
1017,More Difficult,Male,Moderate,,Once Daily,Other
5712,More Difficult,Female,Moderate,Never,Once A Week Or Less,White
96,More Difficult,Female,,,Several Times Daily,Black
3261,More Difficult,Female,Conservative,Some of the Time,Several Times Daily,White
5717,More Difficult,Female,Moderate,Some of the Time,Once A Week Or Less,White
1693,More Difficult,Male,,Half of the Time,Once Daily,Other
288,More Difficult,Female,Slightly Conservative,,Several Times Daily,White
5725,More Difficult,Female,Liberal,,Once A Week Or Less,Hispanic
3153,More Difficult,Male,Slightly Liberal,,Once A Week Or Less,White
5128,More Difficult,Male,Moderate,,Never,Black
59,More Difficult,Male,Moderate,,Once A Week Or Less,White
4140,More Difficult,Female,Moderate,Some of the Time,Once Daily,White
471,More Difficult,Female,,Some of the Time,Never,White
6067,More Difficult,Female,Liberal,Some of the Time,Never,White
5740,More Difficult,Male,Extremely Conservative,Some of the Time,Few Times A Week,Black
3656,More Difficult,Male,Slightly Conservative,,Once A Week Or Less,White
6037,More Difficult,Female,Moderate,,Once A Week Or Less,Black
5749,More Difficult,Male,Extremely Liberal,,Once Daily,Black
1059,More Difficult,Female,Liberal,Half of the Time,Never,White
6367,More Difficult,Male,Slightly Liberal,,Never,Black
5754,More Difficult,Female,Conservative,Some of the Time,Several Times Daily,White
1108,More Difficult,Male,Conservative,Some of the Time,Several Times Daily,White
6227,More Difficult,Male,Slightly Liberal,Some of the Time,Once A Week Or Less,White
5417,More Difficult,Male,Moderate,,Several Times Daily,Hispanic
5763,More Difficult,Female,Moderate,Half of the Time,Never,White
4791,More Difficult,Female,Moderate,Some of the Time,Several Times Daily,White
5280,More Difficult,Male,Conservative,,Several Times Daily,White
3921,More Difficult,Female,Liberal,Always,Several Times Daily,Black
6241,More Difficult,Male,Moderate,,Once A Week Or Less,Hispanic
119,More Difficult,Male,,Never,Once A Week Or Less,White
3845,More Difficult,Male,Liberal,,Several Times Daily,Black
5781,More Difficult,Female,Extremely Liberal,,Never,Black
6788,More Difficult,Male,Moderate,Some of the Time,Never,Hispanic
4235,More Difficult,Female,Conservative,Half of the Time,Several Times Daily,White
4880,More Difficult,Female,Moderate,,Never,White
1731,More Difficult,Female,Liberal,Some of the Time,Several Times Daily,White
4442,More Difficult,Female,Liberal,,Few Times A Week,White
5584,More Difficult,Male,Slightly Liberal,,Several Times Daily,Hispanic
102,More Difficult,Female,Conservative,,Several Times Daily,White
5797,More Difficult,Male,Moderate,,Several Times Daily,Black
5799,More Difficult,Male,Moderate,,Never,Hispanic
3867,More Difficult,Female,Moderate,Some of the Time,Few Times A Week,White
3736,More Difficult,Female,Moderate,,Several Times Daily,Black
2000,More Difficult,Male,Liberal,Most Of The Time,Few Times A Week,Black
3084,More Difficult,Female,Extremely Liberal,,Never,White
1607,More Difficult,Female,Moderate,Some of the Time,Few Times A Week,Other
5561,More Difficult,Female,Extremely Liberal,Half of the Time,Once Daily,Black
482,More Difficult,Female,Moderate,Some of the Time,Several Times Daily,White
5646,More Difficult,Female,Slightly Conservative,Some of the Time,Once Daily,White
4681,More Difficult,Female,Moderate,Some of the Time,Several Times Daily,Black
5569,More Difficult,Female,Moderate,,Once Daily,White
1900,More Difficult,Female,Slightly Liberal,,Several Times Daily,White
1854,More Difficult,Female,,,Several Times Daily,White
4742,More Difficult,Male,Slightly Liberal,,Once Daily,Black
507,More Difficult,Male,,Half of the Time,Once A Week Or Less,Hispanic
573,More Difficult,Female,Moderate,,Several Times Daily,Black
5832,More Difficult,Female,Slightly Conservative,Some of the Time,Once Daily,White
1987,More Difficult,Female,Moderate,Some of the Time,Once Daily,Hispanic
5342,More Difficult,Female,Slightly Liberal,Half of the Time,Once A Week Or Less,White
313,More Difficult,Female,Moderate,,Several Times Daily,Black
6674,More Difficult,Female,Conservative,Half of the Time,Several Times Daily,Hispanic
6003,More Difficult,Female,Extremely Conservative,,Once Daily,White
5068,More Difficult,Male,Liberal,,Never,White
5849,More Difficult,Female,Moderate,,Once A Week Or Less,Other
6860,More Difficult,Female,Moderate,Some of the Time,Once A Week Or Less,White
5661,More Difficult,Female,Moderate,Some of the Time,Never,White
764,More Difficult,Male,Liberal,,Once Daily,Hispanic
5427,More Difficult,Female,Moderate,,Several Times Daily,Black
3414,More Difficult,Male,Conservative,,Several Times Daily,Black
3252,More Difficult,Male,Liberal,Half of the Time,Few Times A Week,White
6627,More Difficult,Male,Slightly Conservative,Some of the Time,Few Times A Week,Black
1250,More Difficult,Male,Conservative,Most Of The Time,Once A Week Or Less,White
3352,More Difficult,Male,Liberal,Some of the Time,Once A Week Or Less,Other
6117,More Difficult,Female,Moderate,Some of the Time,Few Times A Week,White
3350,More Difficult,Male,Conservative,,Few Times A Week,White
3024,More Difficult,Female,Slightly Liberal,Some of the Time,,White
5873,More Difficult,Female,Moderate,Never,Once Daily,Hispanic
5878,More Difficult,Male,Conservative,,Once A Week Or Less,White
5879,More Difficult,Female,Slightly Liberal,Half of the Time,Never,White
738,More Difficult,Female,Liberal,Half of the Time,Several Times Daily,White
5882,More Difficult,Male,Slightly Conservative,Half of the Time,Once Daily,White
6319,More Difficult,Female,Slightly Liberal,,Once Daily,Hispanic
4628,More Difficult,Female,Slightly Conservative,,Once Daily,Hispanic
5283,More Difficult,Male,Moderate,Half of the Time,Never,White
4705,More Difficult,Male,Slightly Conservative,Never,Once Daily,White
5888,More Difficult,Female,Liberal,,Once A Week Or Less,Black
5889,More Difficult,Female,Moderate,,Once Daily,White
3526,More Difficult,Male,Extremely Liberal,Most Of The Time,Never,White
3519,More Difficult,Female,Extremely Liberal,Some of the Time,Once A Week Or Less,White
985,More Difficult,Male,Slightly Conservative,,,Black
6312,More Difficult,Male,Moderate,Never,Once Daily,White
1967,More Difficult,Female,Moderate,,Once A Week Or Less,Other
6814,More Difficult,Male,Slightly Conservative,,Once Daily,Hispanic
1322,More Difficult,Female,Liberal,Half of the Time,Once A Week Or Less,Black
5906,More Difficult,Female,Moderate,,Few Times A Week,Hispanic
6723,More Difficult,Male,Moderate,,Once A Week Or Less,White
1121,More Difficult,Male,,Half of the Time,Once Daily,Black
103,More Difficult,Female,Slightly Conservative,,Once Daily,White
891,More Difficult,Female,,,Several Times Daily,Black
1055,More Difficult,Female,Moderate,,Several Times Daily,White
3355,More Difficult,Female,Extremely Conservative,Some of the Time,Several Times Daily,White
4961,More Difficult,Male,Slightly Liberal,Some of the Time,Several Times Daily,White
873,More Difficult,Female,Conservative,,Few Times A Week,White
2001,More Difficult,Male,Liberal,Most Of The Time,Once Daily,White
1572,More Difficult,Female,Moderate,Most Of The Time,Never,Hispanic
3133,More Difficult,Male,Liberal,,Never,White
998,More Difficult,Female,,,Several Times Daily,Black
1530,More Difficult,Male,Moderate,Some of the Time,,Hispanic
4215,More Difficult,Female,Moderate,Half of the Time,Once Daily,White
1725,More Difficult,Male,Moderate,Half of the Time,Several Times Daily,Hispanic
259,More Difficult,Female,Slightly Conservative,Most Of The Time,Once Daily,White
6687,More Difficult,Male,Conservative,,Few Times A Week,White
5547,More Difficult,Male,Moderate,Some of the Time,Once Daily,Hispanic
3433,More Difficult,Female,Moderate,Some of the Time,Once Daily,Black
3748,More Difficult,Male,Moderate,,Never,White
5515,More Difficult,Male,Moderate,,Never,White
1479,More Difficult,Female,Conservative,,Several Times Daily,Hispanic
6179,More Difficult,Male,Moderate,Half of the Time,Once A Week Or Less,Hispanic
4495,More Difficult,Female,Moderate,Some of the Time,Once Daily,White
610,More Difficult,Male,Conservative,Half of the Time,Few Times A Week,Black
4886,More Difficult,Female,Moderate,Some of the Time,Never,White
6129,More Difficult,Female,Moderate,Some of the Time,Once A Week Or Less,White
5974,More Difficult,Female,Moderate,,Few Times A Week,White
150,More Difficult,Female,Liberal,,Several Times Daily,Black
3764,More Difficult,Female,Liberal,,Never,White
3801,More Difficult,Female,Slightly Liberal,,Never,White
6068,More Difficult,Female,Moderate,Some of the Time,Once A Week Or Less,Hispanic
4274,More Difficult,Male,Moderate,,Several Times Daily,Black
6421,More Difficult,Male,Conservative,,Once Daily,White
5986,More Difficult,Female,Extremely Conservative,Never,Several Times Daily,Black
5988,More Difficult,Male,Liberal,,Never,White
5990,More Difficult,Female,Moderate,Some of the Time,Few Times A Week,White
3229,More Difficult,Female,Moderate,,Once A Week Or Less,Hispanic
857,More Difficult,Female,Slightly Liberal,Never,Once Daily,Hispanic
5247,More Difficult,Female,Moderate,,Several Times Daily,Black
4086,More Difficult,Male,Moderate,Half of the Time,Once A Week Or Less,White
437,More Difficult,Male,Liberal,Some of the Time,Once A Week Or Less,White
4504,More Difficult,Male,Moderate,Some of the Time,Few Times A Week,Black
5266,More Difficult,Female,Liberal,Some of the Time,Once Daily,Hispanic
3171,More Difficult,Female,Slightly Liberal,Some of the Time,Once Daily,White
1881,More Difficult,Female,,Some of the Time,Few Times A Week,Hispanic
1926,More Difficult,Male,Moderate,,Never,Black
5603,More Difficult,Female,Moderate,,,Black
6130,More Difficult,Male,Moderate,Most Of The Time,Never,White
4170,More Difficult,Female,Moderate,,Several Times Daily,Black
6829,More Difficult,Female,Conservative,Some of the Time,Few Times A Week,White
6448,More Difficult,Female,Extremely Liberal,,Never,White
1373,More Difficult,Female,,,Several Times Daily,Black
6102,More Difficult,Female,Slightly Liberal,Half of the Time,Never,Other
6026,More Difficult,Female,Conservative,,Several Times Daily,Black
297,More Difficult,Female,Moderate,Some of the Time,Once A Week Or Less,White
5286,More Difficult,Female,Slightly Liberal,Some of the Time,Never,White
5605,More Difficult,Female,Extremely Liberal,,Once Daily,Black
5780,More Difficult,Female,Moderate,,Several Times Daily,White
6515,More Difficult,Male,Moderate,Half of the Time,Several Times Daily,Black
5979,More Difficult,Male,Conservative,,Several Times Daily,Other
729,More Difficult,Female,Liberal,Half of the Time,Never,Hispanic
6414,More Difficult,Female,Liberal,,Once Daily,Hispanic
1891,More Difficult,Male,Moderate,Half of the Time,Once Daily,White
5961,More Difficult,Female,Slightly Conservative,,Several Times Daily,Black
3618,More Difficult,Female,Conservative,Some of the Time,Once Daily,White
430,More Difficult,Female,Moderate,,Few Times A Week,White
1130,More Difficult,Male,Conservative,Some of the Time,Several Times Daily,Hispanic
6055,More Difficult,Male,Moderate,,Several Times Daily,White
4429,More Difficult,Male,Moderate,Half of the Time,Once Daily,White
6696,More Difficult,Male,Moderate,Some of the Time,Once A Week Or Less,White
3039,More Difficult,Male,Slightly Conservative,Half of the Time,Few Times A Week,Black
4064,More Difficult,Male,Liberal,,Once A Week Or Less,White
1771,More Difficult,Male,Conservative,,Once Daily,Hispanic
6064,More Difficult,Female,Moderate,Some of the Time,Few Times A Week,Black
6065,More Difficult,Female,Conservative,Most Of The Time,Several Times Daily,White
5303,More Difficult,Female,,,Once Daily,Hispanic
3769,More Difficult,Male,Liberal,Some of the Time,Never,White
6072,More Difficult,Male,Conservative,,Never,White
1959,More Difficult,Female,Slightly Conservative,Some of the Time,Once A Week Or Less,White
1370,More Difficult,Male,,,Once Daily,Black
5447,More Difficult,Female,Moderate,,Several Times Daily,Black
923,More Difficult,Female,Slightly Conservative,,Never,White
4688,More Difficult,Female,Conservative,Never,Several Times Daily,Black
6080,More Difficult,Female,Moderate,Half of the Time,Few Times A Week,Black
6081,More Difficult,Male,Slightly Conservative,Some of the Time,Several Times Daily,White
5260,More Difficult,Male,Slightly Liberal,,Several Times Daily,Hispanic
6084,More Difficult,Male,Slightly Liberal,,Once A Week Or Less,White
3292,More Difficult,Female,Liberal,,Several Times Daily,Black
785,More Difficult,Male,Slightly Liberal,Some of the Time,Once A Week Or Less,White
1378,More Difficult,Female,,,Several Times Daily,Black
3771,More Difficult,Female,Moderate,,Once A Week Or Less,White
5043,More Difficult,Male,Moderate,,Once Daily,Hispanic
3847,More Difficult,Female,Slightly Liberal,,Several Times Daily,White
1456,More Difficult,Female,Moderate,,Few Times A Week,Hispanic
6530,More Difficult,Female,Moderate,Half of the Time,Few Times A Week,Black
6101,More Difficult,Female,Slightly Liberal,Some of the Time,Several Times Daily,Hispanic
4522,More Difficult,Male,Moderate,,Once Daily,White
1975,More Difficult,Female,Moderate,Half of the Time,Once A Week Or Less,White
4523,More Difficult,Male,Extremely Liberal,Some of the Time,Never,Hispanic
4241,More Difficult,Male,Slightly Liberal,Most Of The Time,Several Times Daily,Black
851,More Difficult,Male,,Always,Few Times A Week,Hispanic
3018,More Difficult,Male,Slightly Conservative,,Once Daily,Hispanic
1922,More Difficult,Female,Slightly Conservative,,Several Times Daily,Hispanic
3053,More Difficult,Male,Conservative,Some of the Time,Never,Other
5063,More Difficult,Male,Liberal,,Never,White
5204,More Difficult,Female,Moderate,,Once A Week Or Less,Black
1166,More Difficult,Female,Slightly Liberal,Half of the Time,Several Times Daily,White
642,More Difficult,Female,,Half of the Time,Few Times A Week,Hispanic
3086,More Difficult,Male,Slightly Liberal,Half of the Time,Several Times Daily,Black
6133,More Difficult,Female,Conservative,,Several Times Daily,White
4327,More Difficult,Male,Slightly Liberal,,Once A Week Or Less,Hispanic
6135,More Difficult,Female,Slightly Conservative,Some of the Time,Once A Week Or Less,Hispanic
1142,More Difficult,Male,Moderate,Some of the Time,Once Daily,Black
1077,More Difficult,Female,,,Several Times Daily,Black
236,More Difficult,Male,Moderate,Some of the Time,Once A Week Or Less,White
3193,More Difficult,Female,Moderate,,Few Times A Week,Black
1327,More Difficult,Female,Liberal,,Several Times Daily,Black
3310,More Difficult,Male,Moderate,Some of the Time,Once A Week Or Less,Hispanic
1888,More Difficult,Female,Slightly Liberal,,Never,White
4600,More Difficult,Female,Extremely Liberal,Most Of The Time,Several Times Daily,Black
708,More Difficult,Female,,Some of the Time,Few Times A Week,Hispanic
6810,More Difficult,Female,Liberal,,Never,White
1529,More Difficult,Female,,Some of the Time,Once A Week Or Less,Hispanic
3572,More Difficult,Male,Liberal,Half of the Time,Never,White
6160,More Difficult,Female,Slightly Liberal,Half of the Time,Once A Week Or Less,Black
1359,More Difficult,Female,Moderate,Half of the Time,Several Times Daily,Black
6162,More Difficult,Male,Conservative,,Several Times Daily,Other
1491,More Difficult,Male,,,Once A Week Or Less,Hispanic
3365,More Difficult,Male,Liberal,Some of the Time,Never,Black
6560,More Difficult,Female,Liberal,,Once A Week Or Less,White
1015,More Difficult,Female,Slightly Conservative,,Few Times A Week,White
3271,More Difficult,Female,Moderate,,Once Daily,Black
6591,More Difficult,Female,Moderate,,Once A Week Or Less,Other
3574,More Difficult,Male,Conservative,Half of the Time,Once Daily,White
6176,More Difficult,Male,Moderate,,Few Times A Week,Black
3535,More Difficult,Male,Slightly Conservative,Some of the Time,Once A Week Or Less,White
306,More Difficult,Female,,,Never,Hispanic
1799,More Difficult,Female,Moderate,,Several Times Daily,Other
6186,More Difficult,Female,Moderate,,Several Times Daily,Black
3412,More Difficult,Female,Moderate,,Never,Hispanic
4808,More Difficult,Female,Slightly Conservative,Half of the Time,Several Times Daily,White
822,More Difficult,Male,Slightly Conservative,,Few Times A Week,White
