City,Price,Bedrooms,Bathrooms,SqFt,PricePerSqFt,Status
Santa Maria-Orcutt,145000,3,2,1027,141.19,Foreclosure
Greenfield,184800,4,2,2018,91.58,Foreclosure
Santa Maria-Orcutt,189900,3,2,1253,151.56,Foreclosure
Santa Maria-Orcutt,249000,3,2,1062,234.46,Short Sale
Santa Maria-Orcutt,185000,4,2,1934,95.66,Short Sale
Atascadero,145000,2,2,1041,139.29,Short Sale
Paso Robles,429000,5,3,2700,158.89,Foreclosure
Arroyo Grande,419000,2,2,1587,264.02,Short Sale
Santa Maria-Orcutt,245000,3,3,1859,131.79,Short Sale
Santa Maria-Orcutt,289900,4,3,2400,120.79,Short Sale
Santa Maria-Orcutt,175000,3,2,1110,157.66,Short Sale
Santa Maria-Orcutt,139000,3,2,1075,129.3,Short Sale
Arroyo Grande,514900,4,3,2035,253.02,Foreclosure
Pismo Beach,549000,3,2,1858,295.48,Short Sale
Atascadero,235000,3,3,1261,186.36,Short Sale
Atascadero,399000,6,3,2628,151.83,Foreclosure
Los Osos,259900,3,2,1120,232.05,Short Sale
Lompoc,350900,3,2,1686,208.13,Foreclosure
Nipomo,1399900,4,4,5190,269.73,Short Sale
Santa Maria-Orcutt,399000,3,2,1840,216.85,Short Sale
Solvang,399000,3,2,1204,331.4,Short Sale
Atascadero,199000,2,1,973,204.52,Short Sale
Santa Maria-Orcutt,350000,3,2,1622,215.78,Short Sale
Nipomo,296800,4,2,2125,139.67,Foreclosure
Santa Maria-Orcutt,165000,3,2,1204,137.04,Short Sale
Santa Maria-Orcutt,210000,3,3,1750,120,Short Sale
San Miguel,229000,3,2,1458,157.06,Short Sale
San Miguel,199500,3,2,1184,168.5,Short Sale
Santa Maria-Orcutt,110000,3,2,1000,110,Short Sale
Paso Robles,264900,3,3,1197,221.3,Foreclosure
Atascadero,449900,3,3,2135,210.73,Foreclosure
Santa Maria-Orcutt,159900,3,2,1114,143.54,Short Sale
Paso Robles,429000,4,2,1870,229.41,Short Sale
Grover Beach,265000,1,1,566,468.2,Short Sale
Nipomo,279900,2,2,1134,246.83,Short Sale
Santa Maria-Orcutt,174900,3,2,1100,159,Foreclosure
Lompoc,158900,4,2,1144,138.9,Foreclosure
Santa Maria-Orcutt,150000,3,2,1349,111.19,Short Sale
Buellton,269000,3,3,1281,209.99,Short Sale
Atascadero,489900,3,3,1957,250.33,Foreclosure
Santa Maria-Orcutt,256000,4,2,1174,218.06,Short Sale
Atascadero,335000,4,3,2400,139.58,Short Sale
Morro Bay,435000,3,2,1236,351.94,Short Sale
Santa Maria-Orcutt,280000,3,3,1910,146.6,Short Sale
Paso Robles,409000,4,2,2064,198.16,Foreclosure
Paso Robles,409000,4,2,2064,198.16,Foreclosure
Paso Robles,399000,4,3,1888,211.33,Foreclosure
Paso Robles,389000,4,2,1862,208.92,Foreclosure
Nipomo,222600,3,2,1106,201.27,Foreclosure
Santa Maria-Orcutt,140000,3,2,1200,116.67,Short Sale
Soledad,220000,5,3,2408,91.36,Foreclosure
Nipomo,650000,3,3,2703,240.47,Short Sale
Lompoc,405000,3,2,1728,234.38,Short Sale
Paso Robles,409000,3,2,1960,208.67,Foreclosure
Santa Maria-Orcutt,164900,3,2,1092,151.01,Foreclosure
Santa Margarita,59900,1,1,628,95.38,Foreclosure
Santa Maria-Orcutt,199900,3,2,1275,156.78,Short Sale
Atascadero,95000,2,1,756,125.66,Foreclosure
Oceano,170000,2,2,885,192.09,Short Sale
San Miguel,720000,4,4,3531,203.91,Foreclosure
Santa Maria-Orcutt,204000,3,2,1712,119.16,Short Sale
Santa Maria-Orcutt,220000,3,2,1100,200,Short Sale
Buellton,498900,4,3,1500,332.6,Foreclosure
Santa Maria-Orcutt,229900,3,2,1671,137.58,Short Sale
San Luis Obispo,531905,3,2,1668,318.89,Foreclosure
Santa Maria-Orcutt,114900,2,1,775,148.26,Foreclosure
Guadalupe,145000,3,2,1200,120.83,Short Sale
Lompoc,191330,4,2,1237,154.67,Foreclosure
Lompoc,199900,4,2,1338,149.4,Short Sale
Santa Maria-Orcutt,266800,4,3,2100,127.05,Short Sale
San Miguel,84900,2,2,1222,69.48,Foreclosure
Santa Maria-Orcutt,250000,3,2,1807,138.35,Short Sale
Santa Maria-Orcutt,220000,4,2,1352,162.72,Short Sale
Lompoc,227900,3,2,1503,151.63,Foreclosure
Buellton,384900,4,2,1571,245,Foreclosure
Paso Robles,529000,4,3,2502,211.43,Short Sale
Santa Maria-Orcutt,159900,3,2,1526,104.78,Foreclosure
Atascadero,199000,3,2,1007,197.62,Short Sale
Lompoc,125000,3,3,1306,95.71,Foreclosure
Bakersfield,91500,3,2,1313,69.69,Short Sale
Santa Maria-Orcutt,155000,3,2,1593,97.3,Short Sale
Paso Robles,409000,3,3,2203,185.66,Short Sale
Atascadero,949000,5,4,5200,182.5,Short Sale
Atascadero,90000,2,1,756,119.05,Short Sale
Santa Maria-Orcutt,300000,3,3,2328,128.87,Foreclosure
Santa Maria-Orcutt,179900,3,2,1008,178.47,Short Sale
Grover Beach,349000,3,2,1346,259.29,Short Sale
Nipomo,220000,3,2,1112,197.84,Foreclosure
Santa Maria-Orcutt,155000,3,2,1340,115.67,Short Sale
Paso Robles,390000,4,2,2236,174.42,Short Sale
Santa Maria-Orcutt,425000,5,4,3039,139.85,Short Sale
Santa Maria-Orcutt,249900,3,2,1733,144.2,Short Sale
Santa Maria-Orcutt,239000,4,3,1947,122.75,Short Sale
Buellton,395000,4,3,1868,211.46,Short Sale
Buellton,375000,3,3,1475,254.24,Short Sale
Buellton,395000,4,3,1868,211.46,Short Sale
Buellton,395000,4,3,1868,211.46,Short Sale
Santa Maria-Orcutt,230000,4,3,1927,119.36,Short Sale
Santa Maria-Orcutt,189000,3,2,1292,146.28,Foreclosure
Paso Robles,304900,3,2,1657,184.01,Foreclosure
Santa Maria-Orcutt,169900,3,2,1300,130.69,Foreclosure
Santa Maria-Orcutt,286500,3,2,1700,168.53,Short Sale
San Miguel,325000,4,2,2400,135.42,Short Sale
Grover Beach,375000,3,2,1278,293.43,Short Sale
Paso Robles,278000,3,2,1396,199.14,Foreclosure
Paso Robles,149000,3,2,1368,108.92,Short Sale
Santa Maria-Orcutt,209000,3,2,1520,137.5,Short Sale
Santa Maria-Orcutt,95000,2,2,900,105.56,Short Sale
Santa Maria-Orcutt,199900,3,2,1407,142.08,Short Sale
Santa Maria-Orcutt,185000,3,2,1170,158.12,Short Sale
Lompoc,449900,4,3,3035,148.24,Foreclosure
Santa Maria-Orcutt,310000,5,4,2900,106.9,Short Sale
Santa Maria-Orcutt,239900,4,2,1656,144.87,Short Sale
Santa Maria-Orcutt,187900,2,2,980,191.73,Foreclosure
Arroyo Grande,450000,3,2,1916,234.86,Short Sale
San Luis Obispo,440000,3,3,1756,250.57,Short Sale
Santa Maria-Orcutt,260000,3,2,1278,203.44,Short Sale
New Cuyama,40900,3,1,1201,34.05,Short Sale
Paso Robles,249000,3,2,1275,195.29,Short Sale
Atascadero,349000,3,3,2000,174.5,Short Sale
Santa Maria-Orcutt,175000,3,2,1200,145.83,Short Sale
Atascadero,449970,3,2,2000,224.99,Foreclosure
Grover Beach,419000,3,2,1902,220.29,Short Sale
Arroyo Grande,400000,3,3,1568,255.1,Short Sale
Santa Maria-Orcutt,185000,3,2,1257,147.18,Short Sale
Santa Maria-Orcutt,139900,2,2,1100,127.18,Short Sale
Santa Maria-Orcutt,174900,3,2,1461,119.71,Foreclosure
Soledad,165360,4,2,1353,122.22,Foreclosure
Santa Maria-Orcutt,169000,3,2,1200,140.83,Short Sale
Santa Maria-Orcutt,240000,3,3,2039,117.7,Short Sale
Santa Maria-Orcutt,364000,4,3,2150,169.3,Short Sale
Arroyo Grande,250000,1,1,748,334.22,Short Sale
Santa Maria-Orcutt,299900,4,3,1969,152.31,Foreclosure
Santa Maria-Orcutt,281900,4,3,2357,119.6,Foreclosure
Grover Beach,349900,3,1,1522,229.89,Short Sale
Santa Maria-Orcutt,220000,3,2,1850,118.92,Short Sale
Templeton,774800,3,4,3123,248.09,Foreclosure
Santa Maria-Orcutt,135000,3,2,1200,112.5,Short Sale
Lompoc,149900,3,1,1000,149.9,Regular
Paso Robles,599000,3,2,2082,287.7,Foreclosure
Santa Maria-Orcutt,179000,3,2,1200,149.17,Foreclosure
Santa Maria-Orcutt,177000,3,2,1500,118,Foreclosure
Santa Maria-Orcutt,177000,3,2,1500,118,Regular
Nipomo,122500,4,2,1248,98.16,Regular
Santa Maria-Orcutt,239500,3,2,1400,171.07,Short Sale
Paso Robles,214900,3,2,1080,198.98,Foreclosure
Santa Maria-Orcutt,275000,3,2,1460,188.36,Short Sale
Arroyo Grande,425000,3,2,1437,295.76,Regular
San Simeon,274900,2,2,1218,225.7,Foreclosure
Nipomo,175000,2,2,1152,151.91,Regular
Morro Bay,535000,2,2,1410,379.43,Regular
Pismo Beach,540000,2,1,817,660.95,Regular
Cambria,389000,2,2,703,553.34,Regular
Paso Robles,250000,3,2,1425,175.44,Short Sale
Paso Robles,425000,3,2,1807,235.2,Regular
Out Of Area,1195000,5,4,3800,314.47,Regular
Los Osos,1350000,3,3,2502,539.57,Regular
Santa Maria-Orcutt,78500,1,1,800,98.13,Foreclosure
Paso Robles,549000,3,2,2237,245.42,Regular
Santa Maria-Orcutt,399900,4,2,1860,215,Regular
Atascadero,699000,10,11,4905,142.51,Short Sale
Santa Maria-Orcutt,129000,2,2,1200,107.5,Regular
Cambria,480000,2,2,1698,282.69,Regular
Nipomo,189000,3,1,1022,184.93,Foreclosure
Pismo Beach,639900,3,2,2080,307.64,Regular
Santa Maria-Orcutt,699900,5,4,3000,233.3,Regular
Grover Beach,999000,3,3,3621,275.89,Regular
Arroyo Grande,599000,3,2,1570,381.53,Regular
Santa Maria-Orcutt,365000,4,2,1860,196.24,Regular
Cambria,359900,3,2,1840,195.6,Foreclosure
Arroyo Grande,995000,4,4,3740,266.04,Regular
Lompoc,193450,4,2,1217,158.96,Foreclosure
Santa Maria-Orcutt,179900,3,3,1520,118.36,Short Sale
Grover Beach,329900,3,2,1240,266.05,Short Sale
Templeton,509000,3,2,1936,262.91,Regular
Atascadero,995000,3,3,2044,486.79,Regular
Pismo Beach,545000,3,2,1946,280.06,Regular
Pismo Beach,795000,3,3,2028,392.01,Regular
Atascadero,830000,4,3,2700,307.41,Regular
Arroyo Grande,54500,2,1,624,87.34,Regular
Arroyo Grande,149000,3,2,1800,82.78,Regular
Santa Maria-Orcutt,36000,2,2,1056,34.09,Regular
Paso Robles,349000,3,2,1467,237.9,Regular
Santa Maria-Orcutt,299900,4,3,2150,139.49,Short Sale
Morro Bay,469000,4,2,2004,234.03,Regular
Oceano,1195000,2,2,1044,1144.64,Regular
Solvang,419900,3,2,1576,266.43,Foreclosure
Los Osos,189000,2,2,1536,123.05,Regular
Lompoc,163900,3,2,1082,151.48,Foreclosure
Lompoc,163900,3,2,1237,132.5,Foreclosure
Los Osos,648000,3,3,2193,295.49,Regular
Santa Maria-Orcutt,130000,3,2,1022,127.2,Short Sale
Atascadero,264900,3,2,1232,215.02,Foreclosure
Santa Maria-Orcutt,189900,4,2,1435,132.33,Foreclosure
Santa Maria-Orcutt,200000,4,2,1430,139.86,Short Sale
Arroyo Grande,1249000,3,3,2480,503.63,Regular
Cayucos,525000,3,3,1832,286.57,Regular
Cambria,729000,3,3,1953,373.27,Regular
Santa Maria-Orcutt,109900,3,2,1100,99.91,Foreclosure
Santa Maria-Orcutt,850000,3,2,2481,342.6,Regular
Santa Maria-Orcutt,249500,3,2,1704,146.42,Short Sale
Oceano,179900,3,2,1161,154.95,Foreclosure
Los Osos,149000,3,2,1440,103.47,Regular
Creston,549000,3,2,1701,322.75,Regular
Atascadero,435000,3,2,1536,283.2,Regular
Atascadero,299000,3,2,1310,228.24,Regular
Los Osos,625000,3,2,2187,285.78,Regular
Santa Maria-Orcutt,399000,4,3,2100,190,Short Sale
Out Of Area,186900,4,2,1511,123.69,Regular
Cambria,1290000,3,3,2130,605.63,Regular
Solvang,264900,2,3,1400,189.21,Foreclosure
Lompoc,198900,3,2,1225,162.37,Foreclosure
Paso Robles,318000,3,3,1868,170.24,Regular
Cambria,2000000,4,4,3576,559.28,Regular
Cambria,598000,2,3,2219,269.49,Regular
Paso Robles,439900,3,3,2508,175.4,Foreclosure
Pismo Beach,920000,3,3,2817,326.59,Regular
Santa Maria-Orcutt,179900,3,2,1972,91.23,Short Sale
Templeton,325000,2,1,952,341.39,Short Sale
Grover Beach,369000,3,2,1080,341.67,Regular
Santa Maria-Orcutt,312900,3,2,1454,215.2,Regular
Atascadero,575000,3,3,1961,293.22,Regular
Santa Maria-Orcutt,26500,2,2,1344,19.72,Regular
San Luis Obispo,2369000,5,6,4174,567.56,Regular
Atascadero,67500,2,2,120,562.5,Regular
San Luis Obispo,1490000,3,3,3201,465.48,Regular
Morro Bay,652000,3,2,1427,456.9,Regular
Atascadero,449000,3,3,2100,213.81,Regular
Morro Bay,982800,3,2,2306,426.19,Regular
Santa Maria-Orcutt,235000,4,3,2100,111.9,Short Sale
Paso Robles,579900,4,3,3166,183.16,Regular
Santa Maria-Orcutt,250000,3,2,1280,195.31,Short Sale
Coalinga,100000,3,1,870,114.94,Short Sale
Coalinga,125000,2,1,960,130.21,Short Sale
Cambria,650000,2,2,919,707.29,Regular
Santa Maria-Orcutt,119900,2,2,1034,115.96,Foreclosure
San Miguel,209900,3,2,1356,154.79,Foreclosure
Paso Robles,524900,3,2,2380,220.55,Regular
Atascadero,349000,5,3,3000,116.33,Short Sale
Atascadero,349000,5,3,3000,116.33,Regular
Cambria,825000,2,3,1840,448.37,Regular
Grover Beach,255000,3,2,1189,214.47,Short Sale
Nipomo,259000,4,2,1336,193.86,Short Sale
Paso Robles,199000,2,1,832,239.18,Short Sale
Santa Maria-Orcutt,410000,5,3,2100,195.24,Foreclosure
Paso Robles,199000,3,1,940,211.7,Regular
Paso Robles,270000,3,2,1344,200.89,Regular
Cayucos,695000,2,2,1437,483.65,Regular
Cambria,2995000,5,4,3684,812.98,Regular
Paso Robles,131900,1,2,300,439.67,Regular
Cambria,995000,4,3,2717,366.21,Regular
Santa Maria-Orcutt,250000,4,3,2097,119.22,Regular
Arroyo Grande,239800,5,2,1575,152.25,Foreclosure
Atascadero,425000,6,3,2628,161.72,Regular
Arroyo Grande,525000,3,2,1750,300,Regular
Pismo Beach,459900,3,2,1346,341.68,Regular
Atascadero,229900,3,2,1041,220.85,Foreclosure
Out Of Area,199900,3,2,1526,131,Regular
Arroyo Grande,599000,4,2,1728,346.64,Regular
Santa Maria-Orcutt,197600,4,2,1378,143.4,Foreclosure
Santa Maria-Orcutt,355000,2,1,1145,310.04,Regular
Paso Robles,339900,3,2,1325,256.53,Regular
Santa Maria-Orcutt,299000,3,3,1850,161.62,Regular
Soledad,166800,4,2,1765,94.5,Foreclosure
Grover Beach,379000,4,2,1631,232.37,Short Sale
Santa Ynez,1395000,4,4,2693,518.01,Short Sale
Santa Maria-Orcutt,150000,3,2,1316,113.98,Short Sale
San Luis Obispo,475000,3,2,1382,343.7,Regular
Santa Maria-Orcutt,265000,4,3,2300,115.22,Foreclosure
Atascadero,265000,3,2,1617,163.88,Short Sale
Los Osos,225000,2,2,1150,195.65,Regular
Paso Robles,249900,2,2,1674,149.28,Foreclosure
Arroyo Grande,509000,3,2,1543,329.88,Regular
Paso Robles,214900,2,2,1351,159.07,Regular
Arroyo Grande,5499000,4,5,5060,1086.76,Regular
Santa Maria-Orcutt,349900,3,2,2000,174.95,Regular
Solvang,125000,2,2,1536,81.38,Regular
Cambria,549000,2,2,924,594.16,Short Sale
Cambria,865000,3,3,1860,465.05,Regular
Bradley,1600000,3,3,2640,606.06,Regular
Nipomo,1065000,4,4,3395,313.7,Regular
Templeton,625000,3,2,1850,337.84,Foreclosure
Santa Maria-Orcutt,249999,3,2,1000,250,Regular
Arroyo Grande,975000,4,3,2720,358.46,Regular
Oceano,204900,2,1,992,206.55,Short Sale
Atascadero,355000,3,2,1737,204.38,Regular
Out Of Area,134900,3,3,1435,94.01,Regular
Santa Maria-Orcutt,199900,5,3,1671,119.63,Short Sale
Santa Maria-Orcutt,349900,4,3,2800,124.96,Short Sale
Santa Maria-Orcutt,99000,2,2,900,110,Foreclosure
Coalinga,409000,4,3,2507,163.14,Short Sale
Pismo Beach,339000,2,2,1440,235.42,Regular
San Miguel,595000,3,3,2238,265.86,Regular
Pismo Beach,849500,3,3,2725,311.74,Regular
Paso Robles,399000,2,3,1772,225.17,Regular
Paso Robles,399000,4,2,1947,204.93,Regular
Solvang,525000,3,2,1720,305.23,Regular
Paso Robles,319900,3,3,1605,199.31,Regular
Paso Robles,495000,3,2,1877,263.72,Regular
San Luis Obispo,372000,3,2,1104,336.96,Foreclosure
Arroyo Grande,589000,3,2,1975,298.23,Regular
Cambria,1100000,3,3,2392,459.87,Regular
