study_name,sample_number,species,region,culmen_length,culmen_depth,flipper_length,body_mass,sex
PAL0809,83,Adelie Penguin (Pygoscelis adeliae),Anvers,36.7,18.8,187,3800,FEMALE
PAL0809,84,Adelie Penguin (Pygoscelis adeliae),Anvers,35.1,19.4,193,4200,MALE
PAL0809,85,Adelie Penguin (Pygoscelis adeliae),Anvers,37.3,17.8,191,3350,FEMALE
PAL0809,86,Adelie Penguin (Pygoscelis adeliae),Anvers,41.3,20.3,194,3550,MALE
PAL0809,87,Adelie Penguin (Pygoscelis adeliae),Anvers,36.3,19.5,190,3800,MALE
PAL0809,88,Adelie Penguin (Pygoscelis adeliae),Anvers,36.9,18.6,189,3500,FEMALE
PAL0809,89,Adelie Penguin (Pygoscelis adeliae),Anvers,38.3,19.2,189,3950,MALE
PAL0809,90,Adelie Penguin (Pygoscelis adeliae),Anvers,38.9,18.8,190,3600,FEMALE
PAL0809,91,Adelie Penguin (Pygoscelis adeliae),Anvers,35.7,18,202,3550,FEMALE
PAL0809,92,Adelie Penguin (Pygoscelis adeliae),Anvers,41.1,18.1,205,4300,MALE
PAL0809,93,Adelie Penguin (Pygoscelis adeliae),Anvers,34,17.1,185,3400,FEMALE
PAL0809,94,Adelie Penguin (Pygoscelis adeliae),Anvers,39.6,18.1,186,4450,MALE
PAL0809,95,Adelie Penguin (Pygoscelis adeliae),Anvers,36.2,17.3,187,3300,FEMALE
PAL0809,96,Adelie Penguin (Pygoscelis adeliae),Anvers,40.8,18.9,208,4300,MALE
PAL0809,97,Adelie Penguin (Pygoscelis adeliae),Anvers,38.1,18.6,190,3700,FEMALE
PAL0809,98,Adelie Penguin (Pygoscelis adeliae),Anvers,40.3,18.5,196,4350,MALE
PAL0809,99,Adelie Penguin (Pygoscelis adeliae),Anvers,33.1,16.1,178,2900,FEMALE
PAL0809,100,Adelie Penguin (Pygoscelis adeliae),Anvers,43.2,18.5,192,4100,MALE
PAL0910,101,Adelie Penguin (Pygoscelis adeliae),Anvers,35,17.9,192,3725,FEMALE
PAL0910,102,Adelie Penguin (Pygoscelis adeliae),Anvers,41,20,203,4725,MALE
PAL0910,103,Adelie Penguin (Pygoscelis adeliae),Anvers,37.7,16,183,3075,FEMALE
PAL0910,104,Adelie Penguin (Pygoscelis adeliae),Anvers,37.8,20,190,4250,MALE
PAL0910,105,Adelie Penguin (Pygoscelis adeliae),Anvers,37.9,18.6,193,2925,FEMALE
PAL0910,106,Adelie Penguin (Pygoscelis adeliae),Anvers,39.7,18.9,184,3550,MALE
PAL0910,107,Adelie Penguin (Pygoscelis adeliae),Anvers,38.6,17.2,199,3750,FEMALE
PAL0910,108,Adelie Penguin (Pygoscelis adeliae),Anvers,38.2,20,190,3900,MALE
PAL0910,109,Adelie Penguin (Pygoscelis adeliae),Anvers,38.1,17,181,3175,FEMALE
PAL0910,110,Adelie Penguin (Pygoscelis adeliae),Anvers,43.2,19,197,4775,MALE
PAL0910,111,Adelie Penguin (Pygoscelis adeliae),Anvers,38.1,16.5,198,3825,FEMALE
PAL0910,112,Adelie Penguin (Pygoscelis adeliae),Anvers,45.6,20.3,191,4600,MALE
PAL0910,113,Adelie Penguin (Pygoscelis adeliae),Anvers,39.7,17.7,193,3200,FEMALE
PAL0910,114,Adelie Penguin (Pygoscelis adeliae),Anvers,42.2,19.5,197,4275,MALE
PAL0910,115,Adelie Penguin (Pygoscelis adeliae),Anvers,39.6,20.7,191,3900,FEMALE
PAL0910,116,Adelie Penguin (Pygoscelis adeliae),Anvers,42.7,18.3,196,4075,MALE
PAL0910,117,Adelie Penguin (Pygoscelis adeliae),Anvers,38.6,17,188,2900,FEMALE
PAL0910,118,Adelie Penguin (Pygoscelis adeliae),Anvers,37.3,20.5,199,3775,MALE
PAL0910,119,Adelie Penguin (Pygoscelis adeliae),Anvers,35.7,17,189,3350,FEMALE
PAL0910,120,Adelie Penguin (Pygoscelis adeliae),Anvers,41.1,18.6,189,3325,MALE
PAL0910,121,Adelie Penguin (Pygoscelis adeliae),Anvers,36.2,17.2,187,3150,FEMALE
PAL0910,122,Adelie Penguin (Pygoscelis adeliae),Anvers,37.7,19.8,198,3500,MALE
PAL0910,123,Adelie Penguin (Pygoscelis adeliae),Anvers,40.2,17,176,3450,FEMALE
PAL0910,124,Adelie Penguin (Pygoscelis adeliae),Anvers,41.4,18.5,202,3875,MALE
PAL0910,125,Adelie Penguin (Pygoscelis adeliae),Anvers,35.2,15.9,186,3050,FEMALE
PAL0910,126,Adelie Penguin (Pygoscelis adeliae),Anvers,40.6,19,199,4000,MALE
PAL0910,127,Adelie Penguin (Pygoscelis adeliae),Anvers,38.8,17.6,191,3275,FEMALE
PAL0910,128,Adelie Penguin (Pygoscelis adeliae),Anvers,41.5,18.3,195,4300,MALE
PAL0910,129,Adelie Penguin (Pygoscelis adeliae),Anvers,39,17.1,191,3050,FEMALE
PAL0910,130,Adelie Penguin (Pygoscelis adeliae),Anvers,44.1,18,210,4000,MALE
PAL0910,131,Adelie Penguin (Pygoscelis adeliae),Anvers,38.5,17.9,190,3325,FEMALE
PAL0910,132,Adelie Penguin (Pygoscelis adeliae),Anvers,43.1,19.2,197,3500,MALE
PAL0910,133,Adelie Penguin (Pygoscelis adeliae),Anvers,36.8,18.5,193,3500,FEMALE
PAL0910,134,Adelie Penguin (Pygoscelis adeliae),Anvers,37.5,18.5,199,4475,MALE
PAL0910,135,Adelie Penguin (Pygoscelis adeliae),Anvers,38.1,17.6,187,3425,FEMALE
PAL0910,136,Adelie Penguin (Pygoscelis adeliae),Anvers,41.1,17.5,190,3900,MALE
PAL0910,137,Adelie Penguin (Pygoscelis adeliae),Anvers,35.6,17.5,191,3175,FEMALE
PAL0910,138,Adelie Penguin (Pygoscelis adeliae),Anvers,40.2,20.1,200,3975,MALE
PAL0910,139,Adelie Penguin (Pygoscelis adeliae),Anvers,37,16.5,185,3400,FEMALE
PAL0910,140,Adelie Penguin (Pygoscelis adeliae),Anvers,39.7,17.9,193,4250,MALE
PAL0910,141,Adelie Penguin (Pygoscelis adeliae),Anvers,40.2,17.1,193,3400,FEMALE
PAL0910,142,Adelie Penguin (Pygoscelis adeliae),Anvers,40.6,17.2,187,3475,MALE
PAL0910,143,Adelie Penguin (Pygoscelis adeliae),Anvers,32.1,15.5,188,3050,FEMALE
PAL0910,144,Adelie Penguin (Pygoscelis adeliae),Anvers,40.7,17,190,3725,MALE
PAL0910,145,Adelie Penguin (Pygoscelis adeliae),Anvers,37.3,16.8,192,3000,FEMALE
PAL0910,146,Adelie Penguin (Pygoscelis adeliae),Anvers,39,18.7,185,3650,MALE
PAL0910,147,Adelie Penguin (Pygoscelis adeliae),Anvers,39.2,18.6,190,4250,MALE
PAL0910,148,Adelie Penguin (Pygoscelis adeliae),Anvers,36.6,18.4,184,3475,FEMALE
PAL0910,149,Adelie Penguin (Pygoscelis adeliae),Anvers,36,17.8,195,3450,FEMALE
PAL0910,150,Adelie Penguin (Pygoscelis adeliae),Anvers,37.8,18.1,193,3750,MALE
PAL0910,151,Adelie Penguin (Pygoscelis adeliae),Anvers,36,17.1,187,3700,FEMALE
PAL0910,152,Adelie Penguin (Pygoscelis adeliae),Anvers,41.5,18.5,201,4000,MALE
